control_level,age,gender,frequency1,frequency2,frequency3,frequency4,frequency5,frequency6,frequency7
1,15,1,0,1,0,0,0,0,0
2,15,1,0,1,0,0,0,0,0
3,15,1,0,1,0,0,0,0,0
4,15,1,0,1,0,0,0,0,0
5,15,1,0,1,0,0,0,0,0
6,15,1,0,1,0,0,0,0,0
7,15,1,0,1,0,0,0,0,0
8,15,1,0,1,0,0,0,0,0
9,15,1,0,1,0,0,0,0,0
10,15,1,0,1,0,0,0,0,0
11,15,1,0,1,0,0,0,0,0
12,15,1,0,1,0,0,0,0,0
13,15,1,0,1,0,0,0,0,0
14,15,1,0,1,0,0,0,0,0
15,15,1,0,1,0,0,0,0,0
16,15,1,0,1,0,0,0,0,0
17,15,1,0,1,0,0,0,0,0
18,15,1,0,1,0,0,0,0,0
19,15,1,0,1,0,0,0,0,0
20,15,1,0,1,0,0,0,0,0
1,15,0,,,,,,,
2,15,0,,,,,,,
3,15,0,,,,,,,
4,15,0,,,,,,,
5,15,0,,,,,,,
6,15,0,,,,,,,
7,15,0,,,,,,,
8,15,0,,,,,,,
9,15,0,,,,,,,
10,15,0,,,,,,,
11,15,0,,,,,,,
12,15,0,,,,,,,
13,15,0,,,,,,,
14,15,0,,,,,,,
15,15,0,,,,,,,
16,15,0,,,,,,,
17,15,0,,,,,,,
18,15,0,,,,,,,
19,15,0,,,,,,,
20,15,0,,,,,,,
1,30,0,,,,,,,
2,30,0,,,,,,,
3,30,0,,,,,,,
4,30,0,,,,,,,
5,30,0,,,,,,,
6,30,0,,,,,,,
7,30,0,,,,,,,
8,30,0,,,,,,,
9,30,0,,,,,,,
10,30,0,,,,,,,
11,30,0,,,,,,,
12,30,0,,,,,,,
13,30,0,,,,,,,
14,30,0,,,,,,,
15,30,0,,,,,,,
16,30,0,,,,,,,
17,30,0,,,,,,,
18,30,0,,,,,,,
19,30,0,,,,,,,
20,30,0,,,,,,,
1,45,1,,,,,,,
2,45,1,,,,,,,
3,45,1,,,,,,,
4,45,1,,,,,,,
5,45,1,,,,,,,
6,45,1,,,,,,,
7,45,1,,,,,,,
8,45,1,,,,,,,
9,45,1,,,,,,,
10,45,1,,,,,,,
11,45,1,,,,,,,
12,45,1,,,,,,,
13,45,1,,,,,,,
14,45,1,,,,,,,
15,45,1,,,,,,,
16,45,1,,,,,,,
17,45,1,,,,,,,
18,45,1,,,,,,,
19,45,1,,,,,,,
20,45,1,,,,,,,
1,32,0,,,,,,,
2,32,0,,,,,,,
3,32,0,,,,,,,
4,32,0,,,,,,,
5,32,0,,,,,,,
6,32,0,,,,,,,
7,32,0,,,,,,,
8,32,0,,,,,,,
9,32,0,,,,,,,
10,32,0,,,,,,,
11,32,0,,,,,,,
12,32,0,,,,,,,
13,32,0,,,,,,,
14,32,0,,,,,,,
15,32,0,,,,,,,
16,32,0,,,,,,,
17,32,0,,,,,,,
18,32,0,,,,,,,
19,32,0,,,,,,,
20,32,0,,,,,,,
1,28,0,,,,,,,
2,28,0,,,,,,,
3,28,0,,,,,,,
4,28,0,,,,,,,
5,28,0,,,,,,,
6,28,0,,,,,,,
7,28,0,,,,,,,
8,28,0,,,,,,,
9,28,0,,,,,,,
10,28,0,,,,,,,
11,28,0,,,,,,,
12,28,0,,,,,,,
13,28,0,,,,,,,
14,28,0,,,,,,,
15,28,0,,,,,,,
16,28,0,,,,,,,
17,28,0,,,,,,,
18,28,0,,,,,,,
19,28,0,,,,,,,
20,28,0,,,,,,,
